2024-04-10 21:04:16 - User: ivan, Action: Logged in
2024-04-10 21:04:19 - User: ivan, Action: Added a custom training type
2024-04-10 21:05:16 - User: ivan, Action: Added a training
2024-04-10 21:05:21 - User: ivan, Action: Viewed trainings
2024-04-10 21:05:38 - User: ivan, Action: Added a training
2024-04-10 21:05:54 - User: katya, Action: Logged in
2024-04-10 21:06:14 - User: katya, Action: Added a custom training type
2024-04-10 21:06:41 - User: katya, Action: Added a training
2024-04-10 21:07:19 - User: katya, Action: Added a training
2024-04-10 21:07:44 - User: katya, Action: Added a training
2024-04-10 21:07:45 - User: katya, Action: Viewed trainings
2024-04-10 21:08:00 - User: admin, Action: Logged in
2024-04-10 21:08:01 - User: admin, Action: Viewed trainings
2024-04-10 21:08:13 - User: katya, Action: Logged in
2024-04-10 21:08:33 - User: katya, Action: Deleted a training
2024-04-10 21:08:56 - User: katya, Action: Edited training duration
2024-04-10 21:08:57 - User: katya, Action: Viewed trainings
2024-04-10 21:09:02 - User: katya, Action: Viewed statistics
2024-04-10 21:16:48 - User: TestUser, Action: Viewed trainings
2024-04-10 21:16:48 - User: TestUser, Action: Deleted a training
2024-04-10 21:18:45 - User: TestUser, Action: Viewed trainings
2024-04-10 21:18:45 - User: TestUser, Action: Deleted a training
2024-04-10 21:19:05 - User: TestUser, Action: Deleted a training
2024-04-10 21:19:55 - User: TestUser, Action: Deleted a training
2024-04-10 21:20:43 - User: TestUser, Action: Deleted a training
2024-04-10 21:21:03 - User: TestUser, Action: Deleted a training
2024-04-10 21:22:35 - User: TestUser, Action: Deleted a training
2024-04-10 21:24:13 - User: TestUser, Action: Deleted a training
2024-04-10 21:25:10 - User: TestUser, Action: Deleted a training
2024-04-10 21:26:33 - User: TestUser, Action: Deleted a training
2024-04-10 21:27:17 - User: TestUser, Action: Deleted a training
2024-04-10 21:28:06 - User: TestUser, Action: Deleted a training
2024-04-10 21:29:42 - User: TestUser, Action: Deleted a training
2024-04-10 21:34:13 - User: TestUser, Action: Viewed trainings
2024-04-10 21:34:13 - User: TestUser, Action: Deleted a training
2024-04-10 21:35:46 - User: TestUser, Action: Viewed trainings
2024-04-10 21:35:46 - User: TestUser, Action: Deleted a training
2024-04-10 21:36:40 - User: TestUser, Action: Deleted a training
2024-04-10 21:37:34 - User: ivan, Action: Logged in
2024-04-10 21:37:52 - User: ivan, Action: Added a training
2024-04-10 21:38:09 - User: ivan, Action: Added a training
2024-04-10 21:38:26 - User: ivan, Action: Deleted a training
2024-04-10 21:38:27 - User: ivan, Action: Viewed trainings
2024-04-10 21:38:45 - User: ivan, Action: Edited training info
2024-04-10 21:38:46 - User: ivan, Action: Viewed trainings
2024-04-10 21:38:56 - User: admin, Action: Logged in
2024-04-10 21:39:00 - User: admin, Action: Viewed trainings
2024-04-10 21:39:08 - User: admin, Action: Logged in
